Lfd. Nr.,Bezeichnung,Tiegeleinwage [mg],Schmelzenthalpie [J/g],"ω PE (191,35 J/g) [ ]",Masse PE im Tiegel [mg],Mittelwert [mg],Stabw.s [mg],Partikle pro Tiegel [ ],Mittelwert über alle Proben mit der selben MP-Konz. [mg],stabw.s
1.0,DS Sand-PE-100ppm-1,1.11,133.3,0.6966292134831461,0.7732584269662922,0.7311662747147462,0.03900888403728581,429.5880149812735,411.7866233100098,19.725073809951578
2.0,,1.04,128.1,0.6694538803240135,0.6962320355369741,0.7311662747147462,0.03900888403728581,386.79557529831897,411.7866233100098,19.725073809951578
3.0,,1.09,127.1,0.6642278547164882,0.7240083616409722,0.7311662747147462,0.03900888403728581,402.22686757831787,411.7866233100098,19.725073809951578
4.0,DS Sand-PE-100ppm-2,1.13,124.4,0.6501175855761694,0.7346328717010714,0.7512655692012892,0.03642604679577668,408.1293731672619,411.7866233100098,19.725073809951578
5.0,,1.18,128.6,0.6720668931277763,0.7930389338907761,0.7512655692012892,0.03642604679577668,440.5771854948756,411.7866233100098,19.725073809951578
6.0,,1.04,133.6,0.6981970211654037,0.7261249020120198,0.7512655692012892,0.03642604679577668,403.40272334001105,411.7866233100098,19.725073809951578
7.0,DS Sand-PE-60ppm-1,1.02,144.1,0.7530702900444212,0.7681316958453096,0.7432087797230206,0.08346866569126234,426.739831025172,414.49109156190417,29.538008988329956
8.0,,1.0,124.4,0.6501175855761694,0.6501175855761694,0.7432087797230206,0.08346866569126234,361.1764364312052,414.49109156190417,29.538008988329956
9.0,,1.07,145.1,0.7582963156519467,0.811377057747583,0.7432087797230206,0.08346866569126234,450.76503208199057,414.49109156190417,29.538008988329956
10.0,DS Sand-PE-60ppm-2,1.06,134.6,0.7034230467729292,0.745628429579305,0.7489591498998345,0.008682337087400079,414.23801643294723,414.49109156190417,29.538008988329956
11.0,,1.05,135.3,0.7070812646981971,0.742435327933107,0.7489591498998345,0.008682337087400079,412.46407107394833,414.49109156190417,29.538008988329956
12.0,,1.07,135.7,0.7091716749412071,0.7588136921870917,0.7489591498998345,0.008682337087400079,421.56316232616206,414.49109156190417,29.538008988329956
13.0,DS Sand-PE-20ppm-1,0.97,147.6,0.7713613796707603,0.7482205382806375,0.8057068199634179,0.05501948342551758,415.67807682257643,429.61608067435094,28.137964954010176
14.0,,1.05,147.8,0.7724065847922655,0.8110269140318789,0.8057068199634179,0.05501948342551758,450.57050779548825,429.61608067435094,28.137964954010176
15.0,,1.09,150.6,0.7870394564933368,0.8578730075777372,0.8057068199634179,0.05501948342551758,476.5961153209651,429.61608067435094,28.137964954010176
16.0,DS Sand-PE-20ppm-2,1.0,144.9,0.7572511105304417,0.7572511105304417,0.7409110704642453,0.015398852552048113,420.69506140580097,429.61608067435094,28.137964954010176
17.0,,1.04,133.7,0.6987196237261563,0.7266684086752025,0.7409110704642453,0.015398852552048113,403.7046714862237,429.61608067435094,28.137964954010176
18.0,,0.99,142.8,0.7462764567546382,0.7388136921870918,0.7409110704642453,0.015398852552048113,410.45205121505103,429.61608067435094,28.137964954010176
19.0,DS Elbe-PE-100ppm-1,0.95,94.65,0.4946433237522864,0.46991115756467206,0.4715057921783816,0.07506261331188184,261.0617542025956,177.44703810159783,101.54908712035902
20.0,,0.96,109.1,0.5701593937810295,0.5473530180297883,0.4715057921783816,0.07506261331188184,304.08501001654906,177.44703810159783,101.54908712035902
21.0,,1.12,67.87,0.35469035798275417,0.3972532009406847,0.4715057921783816,0.07506261331188184,220.69622274482487,177.44703810159783,101.54908712035902
22.0,DS Elbe-PE-100ppm-2,1.15,12.9,0.06741573033707865,0.07752808988764044,0.16730354498737043,0.0921428627462217,43.071161048689135,177.44703810159783,101.54908712035902
23.0,,1.04,48.14,0.25158087274627644,0.2616441076561275,0.16730354498737043,0.0921428627462217,145.3578375867375,177.44703810159783,101.54908712035902
24.0,,1.0,31.14,0.16273843741834335,0.16273843741834335,0.16730354498737043,0.0921428627462217,90.41024301019075,177.44703810159783,101.54908712035902
25.0,DS Elbe-PE-60ppm-1,0.91,75.85,0.3963940423308074,0.3607185785210347,0.3457205818308509,0.055772862854358306,200.39921028946375,152.8841854658421,48.83094057589784
26.0,,0.95,57.2,0.2989286647504573,0.28398223151293445,0.3457205818308509,0.055772862854358306,157.7679063960747,152.8841854658421,48.83094057589784
27.0,,0.97,77.42,0.40459890253462244,0.39246093545858374,0.3457205818308509,0.055772862854358306,218.03385303254652,152.8841854658421,48.83094057589784
28.0,DS Elbe-PE-60ppm-2,0.95,47.86,0.2501175855761693,0.23761170629736084,0.20466248584618063,0.035783796233508115,132.0065034985338,152.8841854658421,48.83094057589784
29.0,,1.05,38.23,0.19979095897569896,0.2097805069244839,0.20466248584618063,0.035783796233508115,116.54472606915773,152.8841854658421,48.83094057589784
30.0,,0.92,34.65,0.18108178730075777,0.16659524431669717,0.20466248584618063,0.035783796233508115,92.55291350927621,152.8841854658421,48.83094057589784
31.0,DS Elbe-PE-20ppm-1,1.19,16.36,0.0854977789391168,0.10174235693754898,0.06955367999303196,0.030144261866517162,56.52353163197166,22.813340882036986,20.597397928234702
